id,name,price,quantity,rating,category,description
1,Premium Headphones,79.99,15,4.8,Electronics,High-quality wireless headphones with noise cancellation
2,Budget Phone Stand,12.50,50,4.2,Accessories,Affordable plastic phone holder for desk
3,Ergonomic Keyboard,89.99,8,4.6,Electronics,Mechanical keyboard with RGB lighting
4,USB-C Cable,15.99,100,4.5,Cables,Fast charging cable 2m length
5,Laptop Stand,45.00,12,4.7,Accessories,Aluminum adjustable laptop stand for better posture
6,Wireless Mouse,35.50,25,4.4,Electronics,1000DPI wireless mouse with long battery life
7,Monitor Light Bar,120.00,5,4.9,Lighting,Professional 3-color monitor light
8,Webcam 1080p,55.00,10,4.3,Electronics,Full HD webcam with auto focus
9,Desk Organizer,18.75,30,4.1,Accessories,Bamboo desk organizer with multiple compartments
10,External SSD 1TB,89.50,7,4.8,Storage,Fast USB 3.1 external SSD
11,Bluetooth Speaker,42.00,20,4.2,Electronics,Portable speaker with 12hr battery
12,Cable Management Kit,25.00,35,4.0,Accessories,Complete cable organization system
13,Mechanical Pen,19.99,100,4.6,Office,Ballpoint pen with comfortable grip
14,Desk Lamp LED,38.00,14,4.4,Lighting,Adjustable LED desk lamp with USB charging
15,Phone Case Premium,24.99,45,4.7,Accessories,Protective silicone case for phones
